customer_tweet_id,customer_text,true_intent,predicted_intent,confidence,generated_reply,groundedness,correctness,relevance,completeness,tone,unsupported_claim,judge_reason,generation_failed,judge_failed,classifier_failed,retrieval_failed,failure_reason
1095838,@AmazonHelp My email to login is a old one and I have been recharged for prime membership but I can’t login or get a change password. Call 1 got Cole,account_prime_membership,account_prime_membership,0.4194,,,,,,,,,True,False,False,False,Reply generation failed after 3 attempts. Last error: The language model returned an empty response.
1771710,@AmazonHelp Please could somebody get back to me - I can't reset my password and cannot sign in. I can't call the 0808 number from abroad to get help by phone. I'm stuck now and my girlfriend has left me for another man with a working Amazon Prime membership... ;-(,account_prime_membership,account_prime_membership,0.2864,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
1505486,@AmazonHelp #stillwaiting @115830 after being a prime member for 10+ years I definitely won’t be renewing my prime membership #notworththemoney,account_prime_membership,account_prime_membership,0.3296,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
2319595,"@AmazonHelp @115850 @1840 One more day has passed without any updates. Why is it so difficult to unlock my account? If you can’t unlock, refund my prime membership amount. ?
#nothingprimeinamazonprime",account_prime_membership,account_prime_membership,0.3361,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
2447427,@AmazonHelp A prime membership payment has come out of my account and id like to cancel. I can’t afford the yearly payment as I am travelling and can’t find my account to cancel :(,account_prime_membership,account_prime_membership,0.2288,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
2976527,"@AmazonHelp CS confirmed the package was not delivered and I would have to wait until tomorrow evening report it lost then I would get a full refund. Thing is, I ordered the specific bday gift for my husband because he really needs a new messenger bag for school and work. Super bummed",delivery_issue,delivery_issue,0.4469,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
1645170,"@AmazonHelp 1 Your package may be lost
Packages are rarely this late and we're sorry yours still hasn't arrived Refund option fails FYI",delivery_issue,delivery_issue,0.546,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
993252,@AmazonHelp @115851 i think u r't undersatnding that was not delivered to me so u r retng money on last 8th shareng confrmtn not able to cntct on cal https://t.co/3LvuaKzJg4,delivery_issue,delivery_issue,0.6031,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
1707971,@AmazonHelp A package wasn't delivered on Fri but was marked delivered. Talked to cs on Sat&amp;was promised a refund&amp;that the package would arrive Sat1/4,delivery_issue,delivery_issue,0.6389,I’m sorry to hear that. Could you share a bit more detail about the order or the delivery attempt? We’ll look into it for you.,,,,,,,,False,True,False,False,Judge failed after 3 attempts. Last error: Judge returned an empty response.
1724893,@AmazonHelp An order today was not delivered by 8pm. I waited in front of my place of business and proceeded to cancel delivery due to not arriving.,delivery_issue,delivery_issue,0.5846,,,,,,,,,True,False,False,False,"Reply generation failed after 3 attempts. Last error: Error code: 402 - {'error': 'You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.'}"
